Фото,Товар,Бренд,Артикул,Предмет,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://cdn1.ozone.ru/s3/multimedia-1-i/7767734634.jpg,"Ручки для кухонной мебели CAPPIO скоба м/о 96 мм, чёрный цвет, комплект 8 штук",Cappio,2202393013,ручка мебельная,906 591 ₽,1 850 шт.,"0,00 ₽",0 шт.,510 ₽,470 ₽,"490,90 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-j/7449677155.jpg,"CAPPIO Ручки для мебели, скоба м/о 128 мм, черный матовый цвет, 8 шт",Cappio,2202398120,ручка мебельная,523 848 ₽,747 шт.,"0,00 ₽",0 шт.,791 ₽,661 ₽,"713,07 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-9/7682576553.jpg,Подъемник-распорка/Телескопическая опорная штанга/ диапазон 115 - 290 см,Тундра,888284063,инструмент для работы с гипсокартоном,282 141 ₽,113 шт.,"0,00 ₽",0 шт.,3 215 ₽,2 280 ₽,"2 579,67 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-g/7477080244.jpg,"Мебельные ручки CAPPIO 128 мм, набор 8 шт",Cappio,2202392659,ручка мебельная,256 485 ₽,543 шт.,"0,00 ₽",0 шт.,523 ₽,446 ₽,"481,63 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-r/8005199427.jpg,Термометр комнатный спиртовой / Термометр механический для дома,Сима-ленд ЮГ,2202381166,термометр,242 339 ₽,1 177 шт.,"0,00 ₽",0 шт.,242 ₽,195 ₽,"214,97 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-z/8149364819.jpg,"Ручки мебельные 128мм черные, набор 8шт.CAPPIO",Cappio,2202394923,ручка мебельная,230 857 ₽,375 шт.,"0,00 ₽",0 шт.,874 ₽,564 ₽,"689,07 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-3/7570570143.jpg,"Стоппер для двери, ограничитель напольный",Lockland,2202377105,стоппер для двери,221 683 ₽,1 120 шт.,"0,00 ₽",0 шт.,253 ₽,185 ₽,"207,47 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-0/7784081028.jpg,"Часы настенные интерьерные ""Джесика"", d 15 см, черные",Соломон,2202339244,настенные часы,220 742 ₽,662 шт.,"0,00 ₽",0 шт.,408 ₽,275 ₽,"365,07 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-p/7715704309.jpg,"Тумба прикроватная, с ящиками, Милан, Дуб молочный 60х50х41",Клик Мебель,2498075251,тумба,211 310 ₽,27 шт.,"0,00 ₽",0 шт.,9 533 ₽,6 872 ₽,"8 592,23 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-2/7817130650.jpg,"Ручка мебельная профильная черная длина 1 метр, межцентровое 480 мм",Cappio,1293583187,ручка мебельная,204 530 ₽,342 шт.,"45 840,00 ₽",69 шт.,694 ₽,325 ₽,"548,86 ₽"
