id,name,is_not_empty
2,Бижутерия,
8,Канцтовары,
12,Посуда,
16,Спорт и туризм,
22,Хозтовары,
320,Швейная галантерея,
363,Мебель,
687,Игрушки,
690,Творчество,
1913,Книги,
2851,Сувениры,
2907,Зимние товары,
3003,Праздники,
3397,Текстиль,
3515,Одежда и обувь,
3689,Авто и мото,
4030,Сад и огород,
5661,Баня и сауна,
5891,Детские товары,
5892,Зоотовары,
8787,Строительство и ремонт,
11091,Интерьер,
11187,Аксессуары,
12218,Красота и здоровье,
18950,Бытовая техника и электроника,
24182,Продукты питания,
25131,Собственное производство,
29205,Оборудование для бизнеса,
39547,Освещение,
41634,Категории для новостей,
45722,Упаковка,
50406,Товары с любимыми героями,
54584,Создано в Сима-ленд,
56801,Дом и сад,
56803,"Одежда, обувь и аксессуары",
