Фото,Товар,Бренд,Категория,Артикул,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://basket-10.wbbasket.ru/vol1428/part142890/142890997/images/c246x328/1.webp,"Папка-короб на резинке А4, 700 мкм, до 300 листов, красная",Calligrata,Папки канцелярские,142890997,8 617 ₽,77 шт.,"2 439,00 ₽",21 шт.,123 ₽,108 ₽,"115,76 ₽"
https://basket-03.wbbasket.ru/vol420/part42084/42084757/images/c246x328/1.webp,"Елочная игрушка Дед Мороз снежинки, ручная роспись 12 см",Evis,Елочные украшения,42084757,54 872 ₽,77 шт.,"36 628,00 ₽",51 шт.,768 ₽,644 ₽,"716,86 ₽"
https://basket-10.wbbasket.ru/vol1474/part147481/147481683/images/c246x328/1.webp,"Фоторамка 15х21 см, серебро матовое",Сималенд,Фоторамки,147481683,13 860 ₽,77 шт.,"4 762,00 ₽",26 шт.,205 ₽,180 ₽,"189,90 ₽"
https://basket-16.wbbasket.ru/vol2594/part259440/259440298/images/c246x328/1.webp,"Елочные игрушки набор шаров 6 см, 6 шт",Зимнее волшебство,Елочные украшения,259440298,19 906 ₽,77 шт.,"75 384,00 ₽",244 шт.,266 ₽,254 ₽,"256,55 ₽"
https://basket-16.wbbasket.ru/vol2605/part260501/260501308/images/c246x328/1.webp,Косметичка на молнии,Сималенд,Косметички,260501308,13 127 ₽,77 шт.,"10 207,00 ₽",59 шт.,177 ₽,169 ₽,"172,50 ₽"
https://basket-24.wbbasket.ru/vol4247/part424722/424722298/images/c246x328/1.webp,Шахматы настольные Классика,Сималенд,Настольные игры для детей,424722298,6 707 ₽,77 шт.,"4 776,00 ₽",54 шт.,92 ₽,75 ₽,"83,71 ₽"
https://basket-16.wbbasket.ru/vol2447/part244789/244789259/images/c246x328/1.webp,Влажные салфетки Aura Tropic Cocktail,AURA (гигиена),Влажные салфетки,244789259,11 311 ₽,77 шт.,"42 520,00 ₽",259 шт.,176 ₽,135 ₽,"154,89 ₽"
https://basket-10.wbbasket.ru/vol1468/part146857/146857925/images/c246x328/1.webp,Свеча для торта С днем рождения,Страна Карнавалия,Свечи для торта,146857925,10 977 ₽,76 шт.,"0,00 ₽",0 шт.,154 ₽,139 ₽,"144,22 ₽"
https://basket-17.wbbasket.ru/vol2712/part271205/271205274/images/c246x328/1.webp,"Сувенир ""Гусь в шапке-ушанке и шарфе"" 11,5х12,5х20 см",Сималенд,Фигурки,271205274,46 525 ₽,76 шт.,"3 837,00 ₽",5 шт.,881 ₽,600 ₽,"653,18 ₽"
https://basket-10.wbbasket.ru/vol1556/part155691/155691748/images/c246x328/1.webp,"Фоторамка дерево С18 25х25 см, красное дерево",Image Art,Фоторамки,155691748,18 796 ₽,76 шт.,"17 623,00 ₽",69 шт.,258 ₽,227 ₽,"242,29 ₽"
https://basket-15.wbbasket.ru/vol2324/part232421/232421237/images/c246x328/1.webp,Носок для подарков Дед Мороз у ёлочки,Зимнее волшебство,Носки для подарков,232421237,10 696 ₽,76 шт.,"3 468,00 ₽",24 шт.,156 ₽,124 ₽,"135,46 ₽"
https://basket-10.wbbasket.ru/vol1428/part142889/142889501/images/c246x328/1.webp,"Чернила универсальные 70 мл, чёрные",Calligrata,Чернила,142889501,10 298 ₽,76 шт.,"5 490,00 ₽",40 шт.,144 ₽,128 ₽,"135,50 ₽"
https://basket-10.wbbasket.ru/vol1502/part150283/150283722/images/c246x328/1.webp,Тапочки для бани Внимание,Банная забава,Тапочки для бани,150283722,22 177 ₽,76 шт.,"27 747,00 ₽",95 шт.,318 ₽,265 ₽,"299,72 ₽"
https://basket-10.wbbasket.ru/vol1552/part155226/155226488/images/c246x328/1.webp,Дуга для подвязки растений,Greengo,Опоры для растений,155226488,14 697 ₽,76 шт.,"6 156,00 ₽",31 шт.,210 ₽,180 ₽,"196,93 ₽"
https://basket-17.wbbasket.ru/vol2635/part263525/263525821/images/c246x328/1.webp,"Сувенир полистоун ""Совёнок с ёлкой""",,Фигурки,263525821,58 291 ₽,76 шт.,"22 252,00 ₽",28 шт.,832 ₽,720 ₽,"764,68 ₽"
https://basket-17.wbbasket.ru/vol2647/part264730/264730700/images/c246x328/1.webp,Ручка-кнопка,CAPPIO,Ручки мебельные,264730700,3 817 ₽,76 шт.,"4 763,00 ₽",91 шт.,53 ₽,42 ₽,"47,42 ₽"
https://basket-12.wbbasket.ru/vol1671/part167109/167109727/images/c246x328/1.webp,"Свеча ароматическая в банке Hilton, 12 гр",Богатство Аромата,Свечи,167109727,8 905 ₽,76 шт.,"149,00 ₽",1 шт.,129 ₽,117 ₽,"122,57 ₽"
https://basket-03.wbbasket.ru/vol415/part41588/41588428/images/c246x328/1.webp,"Набор пуговиц 15шт ""Снеговик в шапке и шарфике"" 3,4х2,5см",Арт узор,Пуговицы,41588428,13 986 ₽,76 шт.,"0,00 ₽",0 шт.,216 ₽,167 ₽,"185,63 ₽"
https://basket-23.wbbasket.ru/vol3990/part399070/399070955/images/c246x328/1.webp,Атомайзер для духов 30 мл,ONLITOP,Флаконы косметические,399070955,11 983 ₽,76 шт.,"24 095,00 ₽",112 шт.,182 ₽,152 ₽,"160,12 ₽"
https://basket-18.wbbasket.ru/vol2884/part288462/288462151/images/c246x328/1.webp,Елочные игрушки Сосульки 6 шт 15 см,Зимнее волшебство,Елочные украшения,288462151,9 873 ₽,76 шт.,"0,00 ₽",0 шт.,193 ₽,126 ₽,"155,83 ₽"
